State,County,PercentSmokers,PercentObese,PercentLimAccesstoHealthyFood,PercentObese,PercentPhysicallyInactive,PercentUnder18YO,Percent65YOAndOver,PercentNonHispanicWhite,PercentFemale,PercentRural,PCPRate,PercentUnemployment,PreventableHospitalStayRate,NumberofHospitals,Population,PeopleServedPerHospital
Tennessee,TN,22,33,8,33,27,22.4,16,74.4,51.2,33.6,72,3.7,5305,153,6715984,43895.32026
Tennessee,Anderson,21,32,9,32,28,21.2,19.8,89.6,51.3,34.7,61,3.9,4867,2,76257,38128.5
Tennessee,Bedford,21,33,7,33,33,25.5,15.1,77.5,50.9,55.6,38,3.9,6034,1,48117,48117
Tennessee,Benton,23,35,7,35,32,19.5,23.7,93.0,50.9,78.5,19,5.4,6528,1,15986,15986
Tennessee,Bledsoe,26,35,2,35,29,16,18.1,89.0,41.2,100,7,5.9,5025,1,14717,14717
Tennessee,Blount,19,35,12,35,26,20.4,19.7,91.3,51.5,32.6,72,3.5,4892,1,129929,129929
Tennessee,Bradley,20,38,12,38,32,22,16.8,86.5,51.4,33,56,3.7,5345,1,105560,105560
Tennessee,Campbell,25,33,10,33,30,20.7,20.4,96.6,51,55,50,5.1,8949,2,39648,19824
Tennessee,Cannon,21,35,1,35,30,21.3,18.1,94.3,50.3,81.1,29,3.5,6293,1,14216,14216
Tennessee,Carroll,21,34,3,34,34,21.3,20.2,84.9,51.2,83.1,50,5.2,6147,1,27860,27860
Tennessee,Carter,24,36,20,36,29,18.8,21.4,95.0,51,41,39,4.5,6447,1,56488,56488
Tennessee,Cheatham,21,34,1,34,25,22.7,14.4,93.2,50.4,83,50,3,5881,1,40330,40330
Tennessee,Chester,21,33,6,33,29,22.2,17.1,85.7,52,65.2,29,4,5389,0,17119,0
Tennessee,Claiborne,23,30,10,30,29,19.1,19.5,95.6,51.1,71.6,63,4.7,5059,1,31609,31609
Tennessee,Clay,25,31,0,31,32,20.1,24.1,95.0,50.6,100,39,5.1,6388,1,7703,7703
Tennessee,Cocke,25,33,12,33,33,20.4,20.7,93.5,51.6,67.5,51,5.2,5141,1,35556,35556
Tennessee,Coffee,23,33,7,33,31,24,17.2,89.0,51.2,47.3,69,3.6,7183,2,55034,27517
Tennessee,Crockett,24,34,0,34,33,24,18.5,74.8,52.3,67.4,7,4.1,5560,0,14473,0
Tennessee,Cumberland,20,33,8,33,31,17.9,30.2,94.6,51.3,60.9,72,4.6,3866,1,59078,59078
Tennessee,Davidson,21,30,7,30,23,21.1,11.9,56.8,51.8,3.4,94,2.7,5566,17,691243,40661.35294
Tennessee,Decatur,21,33,3,33,34,21.1,23,92.0,50.8,100,42,5.2,6580,1,11751,11751
Tennessee,DeKalb,22,33,1,33,31,21.8,18,89.3,50.4,78.4,41,4.7,6691,1,19852,19852
Tennessee,Dickson,21,32,5,32,29,23.4,15.7,89.7,50.9,67.8,36,3.3,7773,1,52853,52853
Tennessee,Dyer,23,38,14,38,33,24,17.3,79.9,51.8,42.9,45,4.8,8595,1,37463,37463
Tennessee,Fayette,19,34,2,34,25,19.6,20.7,68.3,50.7,79,38,4,4784,0,40036,0
Tennessee,Fentress,25,30,0,30,30,21.2,21.4,96.7,51.1,100,39,4.5,7584,1,18136,18136
Tennessee,Franklin,21,32,7,32,31,20.2,19.7,89.1,51.4,69.6,72,3.8,6606,1,41652,41652
Tennessee,Gibson,22,36,6,36,36,24.6,17.7,77.4,52,47.7,45,4.6,6016,1,49111,49111
Tennessee,Giles,23,35,5,35,32,21,19.7,84.6,51.4,73.7,44,3.4,5813,1,29401,29401
Tennessee,Grainger,23,32,0,32,29,20.6,20,94.9,49.6,100,17,4.2,4399,0,23144,0
Tennessee,Greene,22,36,4,36,34,19.7,21.3,93.1,50.8,65.2,60,4.5,6052,2,68808,34404
Tennessee,Grundy,25,34,1,34,30,21.9,20.8,96.2,50.5,100,NA,5,6307,0,13361,0
Tennessee,Hamblen,24,33,19,33,34,23.1,18.3,82.1,51.1,21.9,63,4,5591,1,64277,64277
Tennessee,Hamilton,20,31,14,31,25,20.9,17.2,71.4,51.8,10,110,3.6,4250,9,361613,40179.22222
Tennessee,Hancock,26,31,0,31,31,21,20.7,97.1,50.8,100,15,5.8,2725,1,6600,6600
Tennessee,Hardeman,24,38,19,38,29,19.7,17.7,54.9,45.2,80.2,24,5.2,6975,1,25447,25447
Tennessee,Hardin,22,32,7,32,30,20.6,22.6,92.1,51.3,67.9,55,4.7,5212,1,25846,25846
Tennessee,Hawkins,21,33,7,33,33,20.2,20.5,95.2,50.9,57.9,28,4.2,4109,1,56459,56459
Tennessee,Haywood,22,37,8,37,32,22.6,18.1,45.2,53.1,47.4,34,5.2,5283,0,17573,0
Tennessee,Henderson,24,33,4,33,32,22.9,18.2,87.4,51.6,76.4,32,5.1,6670,1,27751,27751
Tennessee,Henry,23,34,8,34,33,20.8,22.7,87.3,51.6,66.8,74,4.5,5170,1,32450,32450
Tennessee,Hickman,24,36,5,36,25,21.2,17.1,90.6,47.4,100,21,3.4,4291,1,24864,24864
Tennessee,Houston,23,34,1,34,30,21.8,20.4,91.8,50.9,100,25,5.7,7784,1,8213,8213
Tennessee,Humphreys,22,34,3,34,28,21.8,19.7,92.8,50.3,82.5,27,4.3,6916,1,18484,18484
Tennessee,Jackson,26,32,0,32,32,18.2,22.1,95.8,50.2,100,17,5.3,7974,0,11677,0
Tennessee,Jefferson,21,35,3,35,29,19.9,19.6,92.2,50.9,59.5,47,4,4899,1,53804,53804
Tennessee,Johnson,24,31,5,31,29,16.8,22.5,94.3,46,85.2,34,3.9,4667,1,17691,17691
Tennessee,Knox,20,32,11,32,21,21.2,15.4,82.8,51.4,10.9,114,3.2,4400,7,461860,65980
Tennessee,Lake,27,35,0,35,32,14.7,15.6,67.4,36.1,100,NA,5.6,11277,0,7468,0
Tennessee,Lauderdale,26,38,6,38,32,23.8,15.7,60.6,50.4,58.7,7,5.9,5985,1,25274,25274
Tennessee,Lawrence,23,34,3,34,33,25.1,17.6,93.8,50.9,75.9,42,4.4,4875,1,43396,43396
