Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
440001,UNICOI COUNTY  HOSPITAL,2030 TEMPLE HILL ROAD,ERWIN,TN,37650,UNICOI,4237433141,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"2030 TEMPLE HILL ROAD ERWIN, TN 37650 (36.121365, -82.445621)"
440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,MADISON,7315415000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"620 SKYLINE DRIVE JACKSON, TN 38301 (35.63954, -88.831973)"
440003,SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN,TN,37066,SUMNER,6154524210,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,"555 HARTSVILLE PIKE GALLATIN, TN 37066 (36.391117, -86.434341)"
440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,DAVIDSON,6157692000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"3441 DICKERSON PIKE NASHVILLE, TN 37207 (36.245301, -86.756463)"
440007,UNITY MEDICAL CENTER,481 INTERSTATE DRIVE,MANCHESTER,TN,37355,COFFEE,9317283586,Acute Care Hospitals,Physician,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,"481 INTERSTATE DRIVE MANCHESTER, TN 37355 (35.497932, -86.078141)"
440008,HENDERSON COUNTY COMMUNITY HOSPITAL,200 W CHURCH ST,LEXINGTON,TN,38351,HENDERSON,7319681801,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"200 W CHURCH ST LEXINGTON, TN 38351 (35.654195, -88.398838)"
440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE,TN,38555,CUMBERLAND,9314849511,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"421 S MAIN ST CROSSVILLE, TN 38555 (35.942713, -85.023007)"
440010,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,WAYNESBORO,TN,38485,WAYNE,9317225411,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"103 J V MANGUBAT DR WAYNESBORO, TN 38485 (35.325355, -87.757533)"
440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,BLOUNT,8659837211,Acute Care Hospitals,Government - Local,TRUE,,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"907 E LAMAR ALEXANDER PARKWAY MARYVILLE, TN 37804 (35.754975, -83.958602)"
440012,BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,SULLIVAN,4238441121,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,"ONE MEDICAL PARK BLVD BRISTOL, TN 37620"
440015,UNIVERSITY OF TN MEDICAL CENTER (THE),1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,KNOX,8655449000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1924 ALCOA HIGHWAY KNOXVILLE, TN 37920 (35.93826, -83.946678)"
440016,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,631 RB WILSON DR,HUNTINGDON,TN,38344,CARROLL,7319864461,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"631 RB WILSON DR HUNTINGDON, TN 38344 (36.023041, -88.413492)"
440017,HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,SULLIVAN,4232244000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"130 WEST RAVINE ROAD KINGSPORT, TN 37662 (36.553005, -82.55426)"
440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON,TN,37643,CARTER,4235421300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1501 WEST ELK AVENUE ELIZABETHTON, TN 37643 (36.343941, -82.249623)"
